borrower_id,business_name,gstin,sector,cluster,turnover_band,language,base_monthly_turnover,gst_filed_on_time_pct,gst_avg_declared_turnover,gst_max_declared_turnover,gst_min_declared_turnover,gst_avg_delay_days,upi_avg_monthly_inflow,upi_inflow_trend_pct,upi_avg_txn_count,eway_avg_dispatch_count,eway_dispatch_momentum_pct,eway_avg_dispatch_value,aa_avg_monthly_credit,aa_avg_monthly_debit,aa_avg_closing_balance,aa_net_monthly_flow,aa_bounce_count_6m,bureau_has_file,bureau_score,cash_flow_score,risk_band,sanctioned_limit,interest_rate_pct,processing_fee_pct,apr_pct
1,Shah Cloth House #1,07ABCDE1001F1Z1,Trading,Rajasthan - Bhilwara,Rs 3-5Cr,Gujarati,2831950,83.3,2637452,3198414,2168965,1.2,2714208,-1.8,683,129.8,22.8,2032844,2112444,1887725,461189,224719,0,True,693,69.7,B,5664000.0,18.0,1.5,19.5
2,Jain Packaging Co #2,07ABCDE1002F1Z2,Trading,Gujarat - Morbi,Rs 1-3Cr,English,2834353,100.0,2813392,3379516,2205038,0.0,3062211,-18.5,595,177.5,-9.7,2050073,2193523,1995882,1094470,197641,2,False,,64.7,C,2834000.0,24.0,2.0,26.0
3,Yadav Auto Parts #3,07ABCDE1003F1Z3,Trading,Gujarat - Morbi,Rs 3-5Cr,Gujarati,791054,75.0,845369,970425,658602,3.9,811617,-41.3,720,77.3,18.1,550106,542421,442626,301118,99795,0,False,754,63.2,C,791000.0,24.0,2.0,26.0
4,Desai Textiles #4,07ABCDE1004F1Z4,Trading,Rajasthan - Bhilwara,> Rs 5Cr,Gujarati,1926617,75.0,1902221,2337339,1497146,3.0,1772554,-4.3,898,240.5,112.9,1197999,1299175,1479190,582924,-180015,0,False,713,71.8,B,3853000.0,18.0,1.5,19.5
5,Iyer Metal Works #5,07ABCDE1005F1Z5,Micro-Manufacturing,Gujarat - Morbi,< Rs 40L,Hindi,1243730,100.0,1219689,1553701,977909,0.0,1392888,4.9,426,126.5,-70.6,886357,956963,776716,125695,180247,1,True,,62.6,C,1244000.0,24.0,2.0,26.0
6,Jain Fertilizer Depot #6,07ABCDE1006F1Z6,Trading,UP - Moradabad,> Rs 5Cr,Marwari,465595,91.7,490572,576454,373126,1.0,479299,-24.4,547,182.2,-37.5,307571,374227,375168,164400,-941,0,False,716,63.0,C,466000.0,24.0,2.0,26.0
7,Yadav Kirana Wholesale #7,07ABCDE1007F1Z7,Trading,UP - Moradabad,Rs 40L-1Cr,Marwari,1599916,91.7,1546723,1793465,1201289,0.9,1596327,-14.6,578,203.7,-31.1,1181150,1365010,1041280,552814,323730,1,True,,69.3,B,3200000.0,18.0,1.5,19.5
8,Nair Textiles #8,07ABCDE1008F1Z8,Trading,Rajasthan - Bhilwara,Rs 3-5Cr,Hindi,2713868,91.7,2943524,3280347,2216333,1.2,2861446,35.2,966,145.2,-78.4,1859154,1879366,2204413,846525,-325047,0,False,,73.0,B,5428000.0,18.0,1.5,19.5
9,Singh Plastics #9,07ABCDE1009F1Z0,Trading,Gujarat - Morbi,Rs 40L-1Cr,Marwari,3361136,100.0,3720313,4169021,2979538,0.0,3319811,-18.4,700,168.0,-65.6,2247956,2892936,2821354,1293645,71582,0,False,,68.6,B,6722000.0,18.0,1.5,19.5
10,Iyer Ceramics #10,07ABCDE1010F1Z1,Micro-Manufacturing,UP - Moradabad,Rs 3-5Cr,Gujarati,3083768,100.0,3145524,3593471,2565333,0.0,2922495,32.5,739,249.2,1.2,2297416,2751986,1914335,1096322,837651,1,False,712,84.8,A,9251000.0,14.0,1.0,15.0
11,Sharma Light Engineering #11,07ABCDE1011F1Z2,Micro-Manufacturing,Rajasthan - Bhilwara,Rs 3-5Cr,Gujarati,912691,100.0,877954,1009364,692387,0.0,853991,-37.2,797,182.5,81.5,627343,564231,478739,171258,85492,2,True,676,68.6,B,1825000.0,18.0,1.5,19.5
12,Reddy Spice Traders #12,07ABCDE1012F1Z3,Trading,Rajasthan - Bhilwara,Rs 1-3Cr,Marwari,923277,75.0,942701,1138168,747139,1.1,930687,-23.5,690,191.0,75.9,608416,608989,572002,131724,36987,0,True,795,71.0,B,1847000.0,18.0,1.5,19.5
13,Agarwal Auto Parts #13,07ABCDE1013F1Z4,Trading,Gujarat - Morbi,> Rs 5Cr,English,1291883,83.3,1296060,1612880,985619,1.9,1310862,9.0,724,157.3,37.3,914484,1032727,902920,149191,129807,0,False,,74.2,B,2584000.0,18.0,1.5,19.5
14,Desai Electricals #14,07ABCDE1014F1Z5,Trading,Rajasthan - Bhilwara,< Rs 40L,Marwari,3127044,83.3,3223186,3806000,2592910,0.8,3357877,-18.4,922,184.0,84.6,2302242,2706380,2718453,1232822,-12073,0,False,,74.5,B,6254000.0,18.0,1.5,19.5
15,Shah Food Processing #15,07ABCDE1015F1Z6,Trading,Rajasthan - Bhilwara,Rs 1-3Cr,Gujarati,214372,91.7,216793,254286,170466,0.2,217700,-17.1,532,152.3,-67.8,143501,183322,151519,64322,31803,2,False,,60.9,C,214000.0,24.0,2.0,26.0
16,Patel Kirana Wholesale #16,07ABCDE1016F1Z7,Trading,Gujarat - Morbi,Rs 3-5Cr,Gujarati,2829903,91.7,2827832,3536492,2191822,1.1,2834781,5.3,601,167.8,-11.6,2087382,2766725,2646872,533556,119853,2,True,,63.3,C,2830000.0,24.0,2.0,26.0
17,Pillai Hardware Store #17,07ABCDE1017F1Z8,Trading,Rajasthan - Bhilwara,Rs 40L-1Cr,English,528757,83.3,533120,645921,427414,1.7,553215,58.3,691,205.8,24.4,331527,375603,494754,203414,-119151,1,False,,75.1,B,1058000.0,18.0,1.5,19.5
18,Iyer Packaging Co #18,07ABCDE1018F1Z0,Micro-Manufacturing,UP - Moradabad,< Rs 40L,English,3450825,75.0,3217002,4088702,2593011,2.3,3648265,-1.1,514,125.7,84.6,2272118,2450107,2708499,912767,-258392,0,True,,66.3,B,6902000.0,18.0,1.5,19.5
19,Patel Packaging Co #19,07ABCDE1019F1Z1,Trading,Rajasthan - Bhilwara,Rs 3-5Cr,Marwari,1953844,75.0,1943411,2396968,1556461,2.4,1799901,-19.7,868,123.2,126.6,1476065,1446644,1136419,279351,310225,0,False,657,71.5,B,3908000.0,18.0,1.5,19.5
20,Patel Timber Traders #20,07ABCDE1020F1Z2,Trading,UP - Moradabad,Rs 3-5Cr,Marwari,1579821,75.0,1523156,1962489,1224173,3.0,1433553,15.7,705,196.7,-17.7,1134674,1211845,871789,167866,340056,0,True,742,72.9,B,3160000.0,18.0,1.5,19.5
21,Verma Electricals #21,07ABCDE1021F1Z3,Trading,Gujarat - Morbi,Rs 40L-1Cr,Hindi,2347658,83.3,2387269,2885533,1853061,1.1,2478303,-27.4,539,128.2,-76.5,1493828,2169063,1862460,461216,306603,0,False,,59.2,C,2348000.0,24.0,2.0,26.0
22,Singh Food Processing #22,07ABCDE1022F1Z4,Trading,Gujarat - Morbi,> Rs 5Cr,English,1189112,83.3,1197675,1411047,931022,2.0,1250438,-4.9,602,155.7,-65.0,780823,970206,989804,306742,-19598,0,True,746,64.3,C,1189000.0,24.0,2.0,26.0
23,Agarwal Kirana Wholesale #23,07ABCDE1023F1Z5,Micro-Manufacturing,Rajasthan - Bhilwara,> Rs 5Cr,Hindi,3174860,100.0,3445084,3915028,2987340,0.0,3246101,41.0,528,211.3,58.2,2305680,2309627,1728988,998211,580639,0,False,,90.2,A,9525000.0,14.0,1.0,15.0
24,Patel Spice Traders #24,07ABCDE1024F1Z6,Trading,Rajasthan - Bhilwara,Rs 40L-1Cr,Hindi,482296,100.0,458175,548894,362099,0.0,510519,-1.8,895,168.3,34.0,344934,446318,279148,160962,167170,0,True,684,81.0,A,1447000.0,14.0,1.0,15.0
25,Singh Agri Traders #25,07ABCDE1025F1Z7,Trading,Gujarat - Morbi,Rs 1-3Cr,Gujarati,3468152,91.7,3631887,4289624,2816963,0.8,3437826,-14.8,710,170.3,115.1,2303928,3192220,2794410,1338140,397810,0,True,658,74.0,B,6936000.0,18.0,1.5,19.5
26,Patel Kirana Wholesale #26,07ABCDE1026F1Z8,Micro-Manufacturing,Gujarat - Morbi,< Rs 40L,Marwari,1755807,83.3,1798136,2191567,1424519,0.9,1978835,16.0,645,157.3,-57.8,1209898,1114035,1122278,702109,-8243,1,False,797,66.2,B,3512000.0,18.0,1.5,19.5
27,Bansal Grains #27,07ABCDE1027F1Z0,Micro-Manufacturing,UP - Moradabad,Rs 1-3Cr,Hindi,2103846,91.7,2205488,2594320,1660839,0.3,2020821,-1.0,489,182.5,78.1,1466122,1323717,1108644,487843,215073,0,False,730,77.1,B,4208000.0,18.0,1.5,19.5
28,Malhotra Kirana Wholesale #28,07ABCDE1028F1Z1,Trading,Gujarat - Morbi,> Rs 5Cr,Marwari,1488469,91.7,1485213,1832815,1154013,1.1,1435229,55.6,857,163.3,-21.2,975170,1264151,1153517,206300,110634,0,False,792,79.9,B,2977000.0,18.0,1.5,19.5
29,Rathi Electricals #29,07ABCDE1029F1Z2,Trading,Rajasthan - Bhilwara,> Rs 5Cr,Gujarati,2247478,91.7,2075944,2589056,1704304,0.9,2354389,-35.5,703,139.8,608.1,1539252,2009998,1186728,317849,823270,0,False,784,70.9,B,4495000.0,18.0,1.5,19.5
30,Agarwal Steel Traders #30,07ABCDE1030F1Z3,Micro-Manufacturing,Rajasthan - Bhilwara,Rs 1-3Cr,Hindi,2441235,100.0,2454616,3018477,1979687,0.0,2509687,-30.4,732,203.8,63.8,1397807,2217389,1226309,647185,991080,2,False,771,72.9,B,4882000.0,18.0,1.5,19.5
31,Bansal Light Engineering #31,07ABCDE1031F1Z4,Trading,Rajasthan - Bhilwara,Rs 1-3Cr,English,3374266,91.7,3489933,4213060,2681631,1.6,3376352,-42.6,729,189.7,-33.1,2485514,2668982,3108108,344340,-439126,0,False,,56.1,C,3374000.0,24.0,2.0,26.0
32,Patel Textiles #32,07ABCDE1032F1Z5,Micro-Manufacturing,Rajasthan - Bhilwara,< Rs 40L,Hindi,410568,100.0,441177,504456,340713,0.0,354219,-24.5,714,168.2,-37.5,277663,356827,262220,43738,94607,0,False,,69.2,B,821000.0,18.0,1.5,19.5
33,Bansal Electricals #33,07ABCDE1033F1Z6,Trading,Rajasthan - Bhilwara,Rs 40L-1Cr,English,439487,91.7,434323,546312,355684,1.5,411665,-26.4,737,57.3,382.8,277602,396309,373224,62425,23085,3,False,797,56.4,C,439000.0,24.0,2.0,26.0
34,Mehta Metal Works #34,07ABCDE1034F1Z7,Micro-Manufacturing,Rajasthan - Bhilwara,Rs 3-5Cr,Marwari,1884597,91.7,1960328,2300703,1696609,1.6,1736695,-29.3,630,103.5,187.8,1398966,1219195,1790004,459231,-570809,0,True,,63.0,C,1885000.0,24.0,2.0,26.0
35,Sharma Packaging Co #35,07ABCDE1035F1Z8,Micro-Manufacturing,Gujarat - Morbi,Rs 1-3Cr,Hindi,2388290,83.3,2462064,2907454,2164891,2.2,2283647,18.7,816,139.7,13.3,1520987,2069935,1856737,585038,213198,0,False,653,77.4,B,4777000.0,18.0,1.5,19.5
36,Patel Packaging Co #36,07ABCDE1036F1Z0,Micro-Manufacturing,UP - Moradabad,< Rs 40L,Marwari,2256446,58.3,2289165,2626573,1797823,2.9,2322054,2.2,593,172.8,-41.8,1494802,1570912,1975727,489077,-404815,2,False,685,50.9,C,2256000.0,24.0,2.0,26.0
37,Singh Fertilizer Depot #37,07ABCDE1037F1Z1,Micro-Manufacturing,Rajasthan - Bhilwara,Rs 3-5Cr,English,1123682,91.7,1094564,1400436,859406,1.7,972785,12.9,736,131.7,-4.4,785743,1000006,844774,447022,155232,0,False,693,76.2,B,2247000.0,18.0,1.5,19.5
